sample_id,image_path,Sampling_Date,State,Species,Pre_GSHH_NDVI,Height_Ave_cm,Dry_Clover_g,Dry_Dead_g,Dry_Green_g,Dry_Total_g,GDM_g
ID1011485656,train/ID1011485656.jpg,2015/9/4,Tas,Ryegrass_Clover,0.62,4.6667,0.0,31.9984,16.2751,48.2735,16.275
ID1012260530,train/ID1012260530.jpg,2015/4/1,NSW,Lucerne,0.55,16.0,0.0,0.0,7.6,7.6,7.6
ID1025234388,train/ID1025234388.jpg,2015/9/1,WA,SubcloverDalkeith,0.38,1.0,6.05,0.0,0.0,6.05,6.05
ID1028611175,train/ID1028611175.jpg,2015/5/18,Tas,Ryegrass,0.66,5.0,0.0,30.9703,24.2376,55.2079,24.2376
ID1035947949,train/ID1035947949.jpg,2015/9/11,Tas,Ryegrass,0.54,3.5,0.4343,23.2239,10.5261,34.1844,10.9605
ID1036339023,train/ID1036339023.jpg,2015/9/30,Vic,Phalaris_Clover,0.82,7.0,23.0755,2.6135,32.191,57.88,55.2665
ID1049634115,train/ID1049634115.jpg,2015/7/2,Vic,Ryegrass_Clover,0.72,2.0,1.5083,3.0167,13.575,18.1,15.0833
ID1051144034,train/ID1051144034.jpg,2015/9/1,WA,SubcloverLosa,0.8,1.0,55.32,0.0,0.0,55.32,55.32
ID1052620238,train/ID1052620238.jpg,2015/5/18,Tas,Ryegrass,0.68,5.0,0.0,11.2291,20.1707,31.3998,20.1707
ID105271783,train/ID105271783.jpg,2015/6/30,Vic,Phalaris_Clover,0.86,4.0,5.2698,8.5635,27.6667,41.5,32.9365
ID1053972079,train/ID1053972079.jpg,2015/9/4,Tas,Clover,0.56,2.5,21.0801,7.9393,1.3688,30.3882,22.4489
ID1058383417,train/ID1058383417.jpg,2015/5/19,Tas,Ryegrass_Clover,0.62,2.0,0.1,9.5,13.1,22.7,13.2
ID1062837331,train/ID1062837331.jpg,2015/9/29,Vic,Ryegrass_Clover,0.82,9.0,19.98,3.9623,35.4077,59.35,55.3877
ID1070112260,train/ID1070112260.jpg,2015/1/15,NSW,Fescue_CrumbWeed,0.6,6.0,0.0,9.8765,22.1235,32.0,22.1235
ID1078930021,train/ID1078930021.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.86,5.0,0.0,5.0189,32.9811,38.0,32.9811
ID1084819986,train/ID1084819986.jpg,2015/9/4,Tas,Clover,0.69,3.1667,21.4551,13.0742,2.6819,37.2112,24.137
ID1088965591,train/ID1088965591.jpg,2015/4/1,NSW,Lucerne,0.89,43.0,0.0,0.3443,59.5557,59.9,59.5557
ID1098771283,train/ID1098771283.jpg,2015/11/9,Tas,Clover,0.48,2.6667,8.376,15.1673,0.4528,23.9961,8.8287
ID1103883611,train/ID1103883611.jpg,2015/2/24,NSW,Phalaris,0.48,26.0,0.0,12.9166,82.7834,95.7,82.7834
ID1108283583,train/ID1108283583.jpg,2015/8/19,Vic,Phalaris_Ryegrass_Clover,0.83,5.5,5.773,7.2162,40.4108,53.4,46.1838
ID1113121340,train/ID1113121340.jpg,2015/9/30,Vic,Phalaris_Clover,0.8,16.0,0.2931,11.6271,82.6598,94.58,82.9529
ID1113329413,train/ID1113329413.jpg,2015/6/29,Tas,WhiteClover,0.72,3.0,20.6523,21.1112,1.3768,43.1403,22.0291
ID1119739385,train/ID1119739385.jpg,2015/5/18,Tas,Ryegrass,0.28,4.0,0.0,3.0,6.8,9.8,6.8
ID1119761112,train/ID1119761112.jpg,2015/5/7,NSW,Fescue,0.42,4.0,0.0,32.4486,22.9514,55.4,22.9514
ID1121692672,train/ID1121692672.jpg,2015/2/24,NSW,Phalaris,0.52,38.0,0.0,1.3958,109.8042,111.2,109.8042
ID1127246618,train/ID1127246618.jpg,2015/5/18,Tas,Ryegrass,0.77,7.0,3.0196,25.8824,32.3529,61.2549,35.3725
ID112966473,train/ID112966473.jpg,2015/8/14,Vic,Ryegrass_Clover,0.74,3.0,11.2,2.8,19.6,33.6,30.8
ID1131079710,train/ID1131079710.jpg,2015/11/9,Tas,Clover,0.57,1.5,15.4794,11.119,1.5261,28.1246,17.0055
ID1136169672,train/ID1136169672.jpg,2015/5/18,Tas,Ryegrass,0.62,5.0,0.0,6.808,16.3107,23.1187,16.3108
ID1139866256,train/ID1139866256.jpg,2015/5/7,NSW,Fescue,0.66,13.0,0.0,83.8407,74.0593,157.9,74.0593
ID1139918758,train/ID1139918758.jpg,2015/8/21,WA,Clover,0.79,3.0,58.34,0.0,0.0,58.34,58.34
ID1140993511,train/ID1140993511.jpg,2015/8/14,Vic,Ryegrass_Clover,0.71,2.0,4.6,2.3,16.1,23.0,20.7
ID1148528732,train/ID1148528732.jpg,2015/8/18,Vic,Phalaris_Clover,0.86,3.2,12.4113,0.0,28.0887,40.5,40.5
ID1148666289,train/ID1148666289.jpg,2015/6/26,Vic,Phalaris_Ryegrass_Clover,0.81,3.5,4.0923,14.3231,21.4846,39.9,25.5769
ID1149598723,train/ID1149598723.jpg,2015/5/7,NSW,Lucerne,0.87,43.0,0.0,5.3831,58.3169,63.7,58.3169
ID1159071020,train/ID1159071020.jpg,2015/9/30,Vic,Phalaris_Clover,0.74,7.0,1.3191,6.7982,46.5727,54.69,47.8918
ID1163061745,train/ID1163061745.jpg,2015/6/29,Tas,WhiteClover,0.5,2.0,5.2,6.7,1.2,13.1,6.4
ID1168534540,train/ID1168534540.jpg,2015/5/7,NSW,Fescue,0.86,9.0,0.0,8.6892,55.6108,64.3,55.6108
