architecture_id,family,variant_name,fold_number,n_samples_val,weighted_r2,Dry_Green_g_mae,Dry_Green_g_rmse,Dry_Green_g_r2,Dry_Dead_g_mae,Dry_Dead_g_rmse,Dry_Dead_g_r2,Dry_Clover_g_mae,Dry_Clover_g_rmse,Dry_Clover_g_r2,GDM_g_mae,GDM_g_rmse,GDM_g_r2,Dry_Total_g_mae,Dry_Total_g_rmse,Dry_Total_g_r2
resnet50,CNN,ResNet50,1,74,-0.1097592080410553,12.744967995613838,16.240090170550676,-0.1358490406219539,6.541570635626153,9.857221865019888,0.135902198592495,7.89645996742045,14.523583861964475,-0.0429654536474519,16.61743889875297,21.405571799981352,-0.088391359237677,17.37871200419481,21.73072443871408,-0.2771590221921187
resnet50,CNN,ResNet50,2,68,0.050445100719109,27.928493981401058,39.130566448795626,-0.2027657411849559,9.23350988705728,12.601405622580758,0.0907994537709652,1.9175209889546712,3.1174054793657264,0.1728892729439882,26.77495655147138,38.27608953610809,-0.2364619416475322,28.66021470007544,41.19016241336107,-0.2113319825509549
resnet50,CNN,ResNet50,3,74,0.0024844458149479,13.626557605318892,21.297149540251876,0.1600813062520888,8.737310125573838,12.15017817051756,0.1213004702685061,10.322766768466597,18.276159793968084,-0.3124773166840744,14.857544742523029,23.28536547675587,-0.1853528126724561,20.40173709021221,28.28397682954589,-0.2166207839975154
resnet50,CNN,ResNet50,4,73,-0.2287666384403955,14.73874612986472,25.053222851688982,-0.425599387770049,4.457425336787674,6.698602417355331,0.2450059792432755,3.785161484315557,7.83167987436444,0.0657691754686128,15.373239765345476,24.715719933167367,-0.5366611620921637,15.954267696303091,25.19238452408855,-0.4273787602088832
resnet50,CNN,ResNet50,5,68,-0.3791398409964323,15.170475830112569,18.98882860178293,0.007371893864364,8.518501804259687,16.02855078522578,-0.1105672248713303,5.25626744744185,10.616778598534951,0.0546120977502212,18.50954377508377,24.069188657475586,-0.2347408067776277,23.94907058629196,32.24240463573269,-0.3601314924932659
efficientnet_b2,CNN,EfficientNet-B2,1,74,-0.0662590307542349,10.985671032698445,15.23723504156153,0.0001011322184854,7.002326458852656,10.13726616001701,0.0861066117848614,8.060323785213305,14.76952209171294,-0.0785870841973348,14.020217943849184,20.068621783826277,0.0433203966613637,17.022596435853178,21.608816446623813,-0.262869653206619
efficientnet_b2,CNN,EfficientNet-B2,2,68,0.2370742240279312,23.032143569424832,32.603796342898846,0.1650025997032373,10.071787071236466,13.89519240404126,-0.1054798607241762,1.2730939690583454,2.469293732581572,0.4810535173031018,22.876622717048583,32.21877630469428,0.12392010735135,26.65685255807793,37.0576015908232,0.0195379443492446
efficientnet_b2,CNN,EfficientNet-B2,3,74,0.1719648222928803,11.967509499195868,19.348486301306167,0.3067525588030005,8.414979718332344,11.801724744981495,0.170977985131522,8.988874244793186,15.984423329424258,-0.0039587261230524,14.797945146710529,21.4352263790483,-0.0044716085600973,20.80218681861425,27.42610067747232,-0.1439378176268984
efficientnet_b2,CNN,EfficientNet-B2,4,73,-0.1617213192485249,12.175161638177986,22.196120747317924,-0.1189854888197674,5.1569554196522525,7.474519985153283,0.0599699793396779,3.818971456637576,7.307967288748688,0.1865375172028767,13.959402253881706,22.71142965259649,-0.2975393304665414,15.298388884355417,23.319041109148497,-0.2229875982063729
efficientnet_b2,CNN,EfficientNet-B2,5,68,0.0242917912804508,13.48932371319849,16.874465837345745,0.2161187304850591,9.338339160364994,16.656498457739406,-0.1992887371645166,4.789132051609782,8.349449128206171,0.4152904798149213,14.77947706698036,19.65428296486747,0.176682573206161,19.62481550860114,25.82108868615023,0.1276813713357604
convnext_tiny,Hybrid,ConvNeXt-Tiny,1,74,0.1708163202642142,9.05202400755449,12.393046456162288,0.3385456172870568,5.437224625154542,8.082583613536434,0.419029275177162,7.594144796080552,13.433520439524504,0.1077182490977441,13.012834609080388,17.292782579487483,0.2896683258070663,14.463186513123087,18.54065164885581,0.0702920282074303
convnext_tiny,Hybrid,ConvNeXt-Tiny,2,68,0.4071381375666275,20.105029979873496,32.18096985783231,0.186519705669258,9.262877909102452,12.432732951840288,0.114976268314739,1.8382996808228325,3.640150341406399,-0.1277574534123944,20.51851210564605,31.73291254839669,0.1501436976447564,22.432070175450622,34.339026299380684,0.1581162480021977
convnext_tiny,Hybrid,ConvNeXt-Tiny,3,74,0.4606014235622523,7.533019223593663,11.888568852859573,0.738270038494332,8.113490898457943,12.046357014902409,0.1362529816413877,8.118696611177647,13.46319617522413,0.2877732823722569,10.085636083206216,14.146284311608143,0.5625118626441006,15.471302507504328,20.400424124328097,0.3670743754813157
convnext_tiny,Hybrid,ConvNeXt-Tiny,4,73,0.3094822758122159,10.242116031346846,16.48339109969882,0.382888807081249,4.49697945136235,6.558108408278793,0.2763437931293588,3.214257637399295,5.641589266876796,0.5152171280723332,10.572489208061125,16.681481962662538,0.299995479399532,12.867118808925133,18.654413303419528,0.2173567097134338
convnext_tiny,Hybrid,ConvNeXt-Tiny,5,68,0.345516847520025,8.744069485927762,12.57100123610609,0.5649592316190141,8.405600070623368,14.844314011180003,0.047474518336015,4.742292291110838,8.931915182272418,0.330865072479755,10.440263248671668,14.78690583492862,0.5339768256183343,16.16888070657874,22.87129347457848,0.315603938506203
maxvit_tiny,Hybrid,MaxViT-Tiny,1,74,-0.1209819332279945,11.50644984345002,15.237646311466062,4.715472709304613e-05,6.367682138145857,8.919179278970198,0.2925371753889549,7.694470544040666,14.586612127679906,-0.0520374489480197,15.266448038167496,20.53196267027468,-0.0013648674184718,17.255490706386453,21.66091236856865,-0.2689662078099748
maxvit_tiny,Hybrid,MaxViT-Tiny,2,68,0.2118241031161321,22.853971675484484,36.189976973663306,-0.0287868241543993,8.91222628692559,11.72555487474456,0.2127937878471831,1.8267366417406072,3.238871710510601,0.1071786704878632,21.952426861754333,35.5269021617386,-0.0652224470931173,24.74849929439897,36.48755478072759,0.0494702913059803
maxvit_tiny,Hybrid,MaxViT-Tiny,3,74,0.2381943909227424,10.98814400417806,16.237249589171558,0.5117758932827376,8.414756034944402,11.917376311452577,0.1546502913801007,8.831191845900024,16.040080481502535,-0.0109623901250879,14.254641186867088,19.4903475468033,0.1695362430390168,19.8966664673992,25.15433421861057,0.037723367390874
maxvit_tiny,Hybrid,MaxViT-Tiny,4,73,0.0268502518130067,12.561064193304084,23.293427134279405,-0.2323585373241887,4.334147721170607,6.085375006358666,0.3769114058737726,3.853897871511698,6.515944299556998,0.3533056528174704,12.832470109421612,22.300442519637997,-0.2510035623799944,14.030510778080188,22.75117645967513,-0.1641485316681348
maxvit_tiny,Hybrid,MaxViT-Tiny,5,68,0.1496347223029515,10.896470253223512,15.221886947495411,0.3621373051225426,8.84906415488499,15.330974629304364,-0.0160050512855238,4.5567420233943805,9.161787399162916,0.29598009471325,13.681570055756705,18.26426590616342,0.2890200689141839,19.487041004922144,25.525840118550605,0.147516193916578
vit_small,Transformer,ViT-Small,1,74,0.2943968953211492,8.830561373946491,11.731419707383054,0.4072864058399742,5.527634208357071,7.867718881384277,0.4495073756820468,6.913139007305213,12.485192767927812,0.2292512409430642,11.378433269197576,14.97829156737528,0.4670874120097552,12.795934376383656,15.990799544512203,0.3084287593193934
vit_small,Transformer,ViT-Small,2,68,0.3533033572630006,22.626145106791967,33.736426657889446,0.105980604236799,9.393036017488193,12.625932851822784,0.0872566946076178,1.203792955509113,2.4075022976030693,0.5067007160486203,22.775101040312187,33.4018139215154,0.0584015515283539,27.04746578016565,37.59507629565701,-0.0091090852038973
vit_small,Transformer,ViT-Small,3,74,0.3837969154196251,9.633191079582422,15.30385035475569,0.5662937233355496,8.523778026334998,11.776400283915113,0.1745320436898711,7.047477602546853,12.82084045946322,0.3541154366452311,11.79843864985328,15.518464053313206,0.4735235055368061,17.85757900417607,22.379803448050552,0.2382949729973661
vit_small,Transformer,ViT-Small,4,73,0.0793810769972744,12.331320296476152,20.466020376455116,0.0486570558184256,4.291348040043758,6.79666723515815,0.2227385592262668,3.694267061860039,6.4731659067595695,0.3617691178445105,13.597655663838626,20.64460070181505,-0.0721228668679527,14.41644098999724,21.21101892895601,-0.0118677165461553
vit_small,Transformer,ViT-Small,5,68,-0.0657052822474619,11.812881050241934,15.765182753055988,0.3157918575878913,8.911708385274897,15.49043786604212,-0.03725067327794,5.810673718203998,10.874382759211446,0.0081779715679092,13.80317269002758,18.95106561818333,0.2345441084676226,20.31739132954951,28.457031262124765,-0.0595104154565502
swin_tiny,Transformer,Swin-Tiny,1,74,0.0515284548187626,9.964497348955126,13.391094029080776,0.2277180897445662,5.468803827569412,8.512731271223915,0.3555463549277958,8.10401523000614,14.488889863718038,-0.0379885246812476,14.66097468322497,19.38171556195827,0.1076898157361643,16.001500655637244,20.38278272700277,-0.1236304929603195
